TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.2G0638300	BdiBd21-3.1G0272600	Cluster_0	403	111	0.06702021646224376
BdiBd21-3.2G0638300	BdiBd21-3.3G0285900	Cluster_0	403	111	0.06668399278248588
BdiBd21-3.2G0638300	BdiBd21-3.1G0087601	Cluster_0	403	111	0.06596732297540743
BdiBd21-3.2G0638300	BdiBd21-3.1G0061200	Cluster_0	403	111	0.06595935616751625
BdiBd21-3.2G0638300	BdiBd21-3.1G0193200	Cluster_0	403	111	0.06545622062578632
BdiBd21-3.2G0638300	BdiBd21-3.1G0071300	Cluster_0	403	111	0.06542700971472087
BdiBd21-3.2G0638300	BdiBd21-3.3G0031700	Cluster_0	403	111	0.06428310236233327
BdiBd21-3.2G0638300	BdiBd21-3.2G0245200	Cluster_0	403	111	0.06399210860015665
BdiBd21-3.2G0638300	BdiBd21-3.1G0244800	Cluster_0	403	111	0.06391643110106975
BdiBd21-3.2G0638300	BdiBd21-3.3G0223200	Cluster_0	403	111	0.06356302355193935
BdiBd21-3.2G0638300	BdiBd21-3.1G0028500	Cluster_0	403	111	0.06238346463214016
BdiBd21-3.2G0638300	BdiBd21-3.1G0311200	Cluster_0	403	111	0.05923317818980953
BdiBd21-3.2G0638300	BdiBd21-3.3G0169200	Cluster_0	403	111	0.05896681383181599
BdiBd21-3.2G0638300	BdiBd21-3.1G0054800	Cluster_0	403	111	0.05885099603587855
BdiBd21-3.2G0638300	BdiBd21-3.1G0235500	Cluster_0	403	111	0.056635035313056435
BdiBd21-3.2G0638300	BdiBd21-3.1G0113000	Cluster_0	403	111	0.05606003790663019
BdiBd21-3.2G0638300	BdiBd21-3.3G0003900	Cluster_0	403	111	0.05601866485940565
BdiBd21-3.2G0638300	BdiBd21-3.2G0108600	Cluster_0	403	111	0.055269872749228975
BdiBd21-3.2G0638300	BdiBd21-3.3G0094600	Cluster_0	403	111	0.05173548381157742
BdiBd21-3.2G0638300	BdiBd21-3.2G0121700	Cluster_0	403	111	0.048253616435182375
BdiBd21-3.2G0638300	BdiBd21-3.3G0186400	Cluster_0	403	111	0.047091042707953126
BdiBd21-3.2G0638300	BdiBd21-3.2G0096400	Cluster_0	403	111	0.04675947125348785
BdiBd21-3.2G0638300	BdiBd21-3.3G0182500	Cluster_0	403	111	0.04618935157289141
BdiBd21-3.2G0638300	BdiBd21-3.3G0090000	Cluster_0	403	111	0.044143814701334966
BdiBd21-3.2G0638300	BdiBd21-3.1G0035340	Cluster_0	403	111	0.04386075381304973
BdiBd21-3.2G0638300	BdiBd21-3.1G0277200	Cluster_0	403	111	0.04370283433454162
BdiBd21-3.2G0638300	BdiBd21-3.3G0199800	Cluster_0	403	111	0.043701280495088965
BdiBd21-3.2G0638300	BdiBd21-3.2G0027400	Cluster_0	403	111	0.043269818779811
BdiBd21-3.2G0638300	BdiBd21-3.1G0139100	Cluster_0	403	111	0.043198656413238806
BdiBd21-3.2G0638300	BdiBd21-3.2G0065200	Cluster_0	403	111	0.04230232632996013
BdiBd21-3.2G0638300	BdiBd21-3.1G0227700	Cluster_0	403	111	0.04194976669478194
BdiBd21-3.2G0638300	BdiBd21-3.1G0247700	Cluster_0	403	111	0.041930956023594236
BdiBd21-3.2G0638300	BdiBd21-3.1G0085400	Cluster_0	403	111	0.04151363383663576
BdiBd21-3.2G0638300	BdiBd21-3.1G0014200	Cluster_0	403	111	0.04144935514217935
BdiBd21-3.2G0638300	BdiBd21-3.1G0201700	Cluster_0	403	111	0.03967822983494985
BdiBd21-3.2G0638300	BdiBd21-3.1G0181600	Cluster_0	403	111	0.03896932316061072
BdiBd21-3.2G0638300	BdiBd21-3.2G0186800	Cluster_0	403	111	0.038254538100194684
BdiBd21-3.2G0638300	BdiBd21-3.3G0274800	Cluster_0	403	111	0.03821835915407864
BdiBd21-3.2G0638300	BdiBd21-3.1G0245000	Cluster_0	403	111	0.035731969121745595
BdiBd21-3.2G0638300	BdiBd21-3.1G0259200	Cluster_0	403	111	0.03567872046051085
BdiBd21-3.2G0638300	BdiBd21-3.1G0103000	Cluster_0	403	111	0.03379299749455415
BdiBd21-3.2G0638300	BdiBd21-3.1G0170800	Cluster_0	403	111	0.03378391113633452
