p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
BdiBd21-3.3G0121300	3.2014053592983e-153	1.59212448175672	0.976	0.577	1.25072504577066e-148	0	BdiBd21-3.3G0121300
BdiBd21-3.3G0566600	5.05746097830059e-153	1.72092234732666	0.943	0.51	1.97584885500248e-148	0	BdiBd21-3.3G0566600
BdiBd21-3.4G0097000	6.60963205899056e-153	1.44914868993648	0.994	0.771	2.58225105280643e-148	0	BdiBd21-3.4G0097000
BdiBd21-3.4G0536800	6.64841706034974e-153	1.73665461659342	0.972	0.686	2.59740357713744e-148	0	BdiBd21-3.4G0536800
BdiBd21-3.3G0217400	1.11314091694625e-152	1.35788415762917	0.994	0.817	4.3488189343256e-148	0	BdiBd21-3.3G0217400
BdiBd21-3.1G0441400	1.56553794916279e-152	1.69440176171719	0.966	0.586	6.11624365978918e-148	0	BdiBd21-3.1G0441400
BdiBd21-3.5G0283500	1.67281233109233e-152	1.58267603594808	0.99	0.749	6.5353432151115e-148	0	BdiBd21-3.5G0283500
BdiBd21-3.2G0764500	1.69449340441781e-152	2.64826106296482	0.36	0.035	6.62004683237948e-148	0	BdiBd21-3.2G0764500
BdiBd21-3.3G0632300	2.16033829385495e-152	1.84794566008581	0.6	0.111	8.44000964643252e-148	0	BdiBd21-3.3G0632300
BdiBd21-3.3G0694700	3.11960528665032e-152	1.5042722254338	0.988	0.713	1.21876739338855e-147	0	BdiBd21-3.3G0694700
BdiBd21-3.1G0331900	4.73003732965764e-152	1.3371343271403	0.994	0.86	1.84793098395065e-147	0	BdiBd21-3.1G0331900
BdiBd21-3.3G0518700	5.09420978267049e-152	2.78473286764143	0.343	0.03	1.99020587789371e-147	0	BdiBd21-3.3G0518700
BdiBd21-3.2G0188400	5.31268271093825e-152	1.69316313890855	0.628	0.122	2.07555888150936e-147	0	BdiBd21-3.2G0188400
